,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
357,ModivCare Inc.,28.98,29.06,28.23,29.8,28.98,29.06,28.23,29.8,2.6334127395872082
358,Moelis & Company,54.72,55.05,54.4,56.23,54.72,55.05,54.4,56.23,1.3135118635873946
359,"Monarch Casino & Resort, Inc.",69.665,70.76,69.665,71.95,69.665,70.76,69.665,71.95,1.3982737707713295
360,"Montrose Environmental Group, Inc.",37.82,38.21,37.57,39.475,37.82,38.21,37.57,39.475,1.4724523150731645
361,MoonLake Immunotherapeutics,50.82,50.59,48.41,50.82,50.82,50.59,48.41,50.82,2.9092778251284646
362,Morgan Stanley,88.05,88.42,87.9107,91.482,88.05,88.42,87.9107,91.482,1.6256400819808716
363,"Morphic Holding, Inc.",33.92,33.9,33.34,34.74,33.92,33.9,33.34,34.74,2.152714214627705
364,Mr. Cooper Group Inc.,73.97,74.26,73.87,77.0,73.97,74.26,73.87,77.0,1.3252382429819258
365,"MSC Industrial Direct Co., Inc.",96.63,96.81,96.2,98.335,96.63,96.81,96.2,98.335,1.613234141516307
366,"Mullen Automotive, Inc.",4.63,4.65,4.45,4.8399,4.63,4.65,4.45,4.8399,56.48468213989621
367,"MyMD Pharmaceuticals, Inc.",2.92,2.88,2.8401,2.94,2.92,2.88,2.8401,2.94,2.691912402236272
368,Nabors Industries Ltd.,89.3,90.55,86.855,90.235,89.3,90.55,86.855,90.235,4.5146824064708895
369,"Natera, Inc.",91.18,91.26,90.3001,93.46,91.18,91.26,90.3001,93.46,2.1686940420241583
370,National HealthCare Corporation,92.31,92.74,91.51,94.09,92.31,92.74,91.51,94.09,1.5118252587696863
371,Natural Resource Partners L.P.,87.78,87.05,86.1501,89.45,87.78,87.05,86.1501,89.45,2.4882936326284257
372,"Nelnet, Inc.",88.53,88.93,88.53,90.73,88.53,88.93,88.53,90.73,1.4328170958019437
373,New Oriental Education & Technology Group Inc.,93.0,92.52,92.5,95.23,93.0,92.52,92.5,95.23,2.1613887907966736
374,"NextEra Energy, Inc.",61.45,61.27,61.36,62.4099,61.45,61.27,61.36,62.4099,1.4002771377563477
375,"NextEra Energy Partners, LP",27.17,27.26,26.9,27.535,27.17,27.26,26.9,27.535,1.4744125623551625
376,Nextracker Inc.,57.09,57.52,56.13,57.985,57.09,57.52,56.13,57.985,2.069615197560144
377,"NIKE, Inc.",99.45,99.96,99.03,100.44,99.45,99.96,99.03,100.44,1.9829362233479817
378,Noble Corporation plc,47.63,48.28,47.41,48.42,47.63,48.28,47.41,48.42,1.3716863904680525
379,Northern Trust Corporation,81.89,82.24,81.7274,84.13,81.89,82.24,81.7274,84.13,1.7335814218672496
380,NovoCure Limited,13.4,13.54,13.26,13.85,13.4,13.54,13.26,13.85,1.5580993114955841
381,Nutrien Ltd.,52.97,53.07,52.7,53.9099,52.97,53.07,52.7,53.9099,1.521225823296441
382,"Nuvalent, Inc.",77.64,78.08,75.53,79.79,77.64,78.08,75.53,79.79,2.662238143739246
383,Nuvve Holding Corp.,0.79,0.792,0.77,0.83,0.79,0.792,0.77,0.83,1.6282023163068862
384,Oddity Tech Ltd.,43.87,44.08,42.93,44.5,43.87,44.08,42.93,44.5,2.5538648493149703
385,Olin Corporation,56.0,55.96,55.5,57.47,56.0,55.96,55.5,57.47,1.3636906033470517
386,"Ollie's Bargain Outlet Holdings, Inc.",74.64,75.35,73.595,78.0,74.64,75.35,73.595,78.0,2.19171446845645
387,"Olympic Steel, Inc.",67.5,67.47,66.6,68.735,67.5,67.47,66.6,68.735,1.9414088082691978
388,"Omnicell, Inc.",27.7,27.64,26.89,27.99,27.7,27.64,26.89,27.99,1.744206428527832
389,Omnicom Group Inc.,93.33,93.35,92.9,94.29,93.33,93.35,92.9,94.29,1.5939285944378565
390,On Holding AG,34.1,34.23,33.68,35.12,34.1,34.23,33.68,35.12,1.2739760837857685
391,ON Semiconductor Corporation,73.64,74.04,73.085,76.05,73.64,74.04,73.085,76.05,2.7416863819909474
392,"ONE Gas, Inc.",62.01,62.23,61.75,63.37,62.01,62.23,61.75,63.37,1.457738376799084
393,"Ormat Technologies, Inc.",64.6,64.55,64.46,66.33,64.6,64.55,64.46,66.33,1.6458333333333335
394,OrthoPediatrics Corp.,26.42,26.61,26.175,27.77,26.42,26.61,26.175,27.77,1.41515470686413
395,Otis Worldwide Corporation,98.69,98.84,98.275,99.4385,98.69,98.84,98.275,99.4385,1.302418451460581
396,Otter Tail Corporation,80.35,80.35,80.0806,81.96,80.35,80.35,80.0806,81.96,1.8249584076896546
397,Pagaya Technologies Ltd.,9.21,9.12,9.21,10.8,9.21,9.12,9.21,10.8,1.5343015421004522
398,"Palomar Holdings, Inc.",83.02,83.69,81.887,83.85,83.02,83.69,81.887,83.85,1.8765990999009876
399,Pampa Energía S.A.,42.0,41.91,41.92,44.0,42.0,41.91,41.92,44.0,1.8151586017911396
400,"Papa John's International, Inc.",71.59,71.89,70.92,72.23,71.59,71.89,70.92,72.23,2.134404636564709
401,PAR Technology Corporation,40.72,40.9,40.75,43.455,40.72,40.9,40.75,43.455,1.4608133709619917
402,"Pathward Financial, Inc.",48.0,48.13,48.0,49.75,48.0,48.13,48.0,49.75,1.3454761505126953
403,"PayPal Holdings, Inc.",63.58,63.01,63.115,65.36,63.58,63.01,63.115,65.36,1.7192460922967818
404,PBF Energy Inc.,55.76,56.25,55.04,57.86,55.76,56.25,55.04,57.86,1.6920636570642866
405,"PC Connection, Inc.",64.54,64.53,63.29,65.28,64.54,64.53,63.29,65.28,1.3401190439860025
406,Peakstone Realty Trust,14.9,15.01,14.76,15.89,14.9,15.01,14.76,15.89,1.8546212663041786
407,Pegasystems Inc.,64.3,64.28,63.73,64.91,64.3,64.28,63.73,64.91,1.4742858674791124
408,"PennyMac Financial Services, Inc.",86.98,87.13,86.7201,89.655,86.98,87.13,86.7201,89.655,1.8591863087245395
409,Pentair plc,81.72,81.77,81.62,82.515,81.72,81.77,81.62,82.515,1.312440312097943
410,Peraso Inc.,1.38,1.38,1.35,1.43,1.38,1.38,1.35,1.43,1.8705158640467932
411,"Perficient, Inc.",60.27,60.27,59.72,61.67,60.27,60.27,59.72,61.67,1.953849096146841
412,Philip Morris International Inc.,93.44,93.68,93.03,93.945,93.44,93.68,93.03,93.945,1.3323612818642268
413,"Phunware, Inc.",10.01,10.02,9.925,11.2084,10.01,10.02,9.925,11.2084,1.5610016404636324
414,Piedmont Lithium Inc.,11.79,11.83,11.66,12.745,11.79,11.83,11.66,12.745,1.8490951931665816
415,"Pinnacle Financial Partners, Inc.",79.72,80.09,79.525,83.27,79.72,80.09,79.525,83.27,2.224940405951606
416,Pinnacle West Capital Corporation,72.39,72.5,72.17,73.34,72.39,72.5,72.17,73.34,1.3942854745047435
417,PJT Partners Inc.,96.41,96.85,94.03,96.525,96.41,96.85,94.03,96.525,1.8497497921898252
418,"Planet Fitness, Inc.",55.99,56.46,54.35,57.04,55.99,56.46,54.35,57.04,1.70805177234468
419,Plexus Corp.,90.5,91.05,90.2396,92.27,90.5,91.05,90.2396,92.27,2.175795388600183
420,Polaris Inc.,91.1,90.76,90.61,92.76,91.1,90.76,90.61,92.76,2.618650345575242
421,"Popular, Inc.",82.12,82.56,82.1,85.835,82.12,82.56,82.1,85.835,1.7874401031978548
422,"Power Integrations, Inc.",69.43,69.11,68.9,71.08,69.43,69.11,68.9,71.08,2.2003968556722002
423,"Praxis Precision Medicines, Inc.",53.31,53.75,52.07,56.06,53.31,53.75,52.07,56.06,2.0996586178976395
424,"Precision BioSciences, Inc.",12.0,12.0,11.79,12.395,12.0,12.0,11.79,12.395,1.2707539702218678
425,Precision Drilling Corporation,66.04,66.03,65.26,67.22,66.04,66.03,65.26,67.22,1.9076191281515453
426,Prestige Consumer Healthcare Inc.,73.45,73.56,72.73,73.89,73.45,73.56,72.73,73.89,1.2659918164450024
427,"PriceSmart, Inc.",80.43,80.69,80.667,81.8634,80.43,80.69,80.667,81.8634,1.5104219194442505
428,"Principal Financial Group, Inc.",82.79,82.98,82.58,84.01,82.79,82.98,82.58,84.01,1.4580953083341084
429,PROCEPT BioRobotics Corporation,50.11,50.06,48.45,50.38,50.11,50.06,48.45,50.38,1.848531791142055
430,"Procore Technologies, Inc.",79.5,79.39,79.09,81.22,79.5,79.39,79.09,81.22,2.2380556379045755
431,ProShares Ether Strategy ETF,75.89,75.56,71.105,77.0823,75.89,75.56,71.105,77.0823,1.7199769424179854
432,ProShares Ultra Bloomberg Natural Gas,14.31,14.86,14.245,14.635,14.31,14.86,14.245,14.635,3.3265078938196577
433,ProShares Ultra Semiconductors,94.23,93.51,92.21,96.3475,94.23,93.51,92.21,96.3475,2.1264585464719743
434,ProShares Ultra QQQ,86.03,85.5646,85.36,87.72,86.03,85.5646,85.36,87.72,1.6092855968172588
435,ProShares UltraPro Short 20+ Year Treasury,72.7719,73.0666,72.06,73.5699,72.7719,73.0666,72.06,73.5699,2.254285388522678
436,ProShares UltraPro Short Russell2000,29.1,28.8362,26.77,29.28,29.1,28.8362,26.77,29.28,1.937936366550506
437,ProShares UltraPro Russell2000,44.46,44.83,44.17,48.05,44.46,44.83,44.17,48.05,1.7441269178239125
438,ProShares UltraPro QQQ,60.07,59.5849,59.37,61.83,60.07,59.5849,59.37,61.83,1.5342855377802773
439,ProShares UltraPro Dow30,80.76,81.2886,80.61,83.92,80.76,81.2886,80.61,83.92,1.5451190887935577
440,"Prosperity Bancshares, Inc.",60.76,60.75,60.585,62.705,60.76,60.75,60.585,62.705,1.4705555628216456
441,Prothena Corporation plc,24.9,25.09,24.47,25.86,24.9,25.09,24.47,25.86,2.449452218555269
442,"PTC Therapeutics, Inc.",30.66,30.43,29.0,30.67,30.66,30.43,29.0,30.67,1.5382182181827606
443,QuidelOrtho Corporation,48.38,48.38,46.73,48.5,48.38,48.38,46.73,48.5,2.137301626659575
444,Rambus Inc.,58.94,58.84,58.275,60.68,58.94,58.84,58.275,60.68,2.262916701180594
445,"Rapid7, Inc.",51.01,50.9,50.59,51.99,51.01,50.9,50.59,51.99,1.844047637212844
446,"RB Global, Inc.",76.21,76.12,75.9816,76.85,76.21,76.12,75.9816,76.85,1.3332474420941065
447,"RCI Hospitality Holdings, Inc.",54.02,53.98,53.9385,55.67,54.02,53.98,53.9385,55.67,1.6762361072358631
448,"Red Rock Resorts, Inc.",54.8,55.14,54.8,56.68,54.8,55.14,54.8,56.68,1.2541230822366383
449,Restaurant Brands International Inc.,80.5,80.32,79.94,81.03,80.5,80.32,79.94,81.03,1.272230102902367
450,"Revolution Medicines, Inc.",30.67,30.8,30.28,31.265,30.67,30.8,30.28,31.265,1.2637697363656666
451,"Rhythm Pharmaceuticals, Inc.",38.83,39.12,37.67,39.76,38.83,39.12,37.67,39.76,1.5624920300074985
452,"Riley Exploration Permian, Inc.",30.46,30.75,29.95,30.95,30.46,30.75,29.95,30.95,1.4571429207211448
453,"RingCentral, Inc.",35.46,35.44,34.9,36.16,35.46,35.44,34.9,36.16,1.319523743220738
454,Robert Half Inc.,78.54,78.58,78.61,80.19,78.54,78.58,78.61,80.19,1.5928570580860926
455,Roblox Corporation,36.42,36.46,36.31,37.86,36.42,36.46,36.31,37.86,1.4922858344184027
456,"Roku, Inc.",64.18,64.54,63.4557,65.56,64.18,64.54,63.4557,65.56,3.521326685708667
457,RTX Corporation,95.0,94.86,94.37,95.515,95.0,94.86,94.37,95.515,1.4124010176885697
458,"RxSight, Inc.",48.9,49.0,47.26,48.965,48.9,49.0,47.26,48.965,1.419666634665595
459,"Safety Insurance Group, Inc.",79.8,80.22,79.79,81.38,79.8,80.22,79.79,81.38,1.4650400555323042
460,"Sage Therapeutics, Inc.",19.09,19.28,18.87,19.735,19.09,19.28,18.87,19.735,1.3422697990659684
461,Samsara Inc.,36.28,36.8,35.31,36.48,36.28,36.8,35.31,36.48,1.3389920885600741
462,Sanmina Corporation,58.93,59.23,58.92,60.49,58.93,59.23,58.92,60.49,1.3514285314650762
463,Schlumberger Limited,54.12,54.48,53.92,54.565,54.12,54.48,53.92,54.565,1.2687103029281372
464,"Schrödinger, Inc.",26.05,26.04,25.31,26.7,26.05,26.04,25.31,26.7,1.8162976446605863
465,The Charles Schwab Corporation,68.37,68.35,68.07,69.78,68.37,68.35,68.07,69.78,1.4576190615457203
466,Scorpio Tankers Inc.,72.01,72.55,70.78,72.28,72.01,72.55,70.78,72.28,1.781666740538582
467,The Scotts Miracle-Gro Company,68.29,68.06,67.93,70.415,68.29,68.06,67.93,70.415,2.2807342135716997
468,Sea Limited,55.99,55.99,55.05,56.425,55.99,55.99,55.05,56.425,2.1038770524282304
469,Seadrill Limited,50.08,49.98,49.04,50.5,50.08,49.98,49.04,50.5,1.3080675488426572
470,Seagate Technology Holdings plc,86.12,85.87,85.445,87.86,86.12,85.87,85.445,87.86,1.814543920849997
471,"Seelos Therapeutics, Inc.",0.62,0.65,0.512,0.65,0.62,0.65,0.512,0.65,1.5641586849140743
472,Energy Select Sector SPDR Fund,91.65,92.18,91.51,92.375,91.65,92.18,91.51,92.375,1.4270040421258836
473,Sempra,70.38,70.47,69.53,71.05,70.38,70.47,69.53,71.05,1.2619246831015936
474,Sensient Technologies Corporation,68.25,68.23,68.15,70.08,68.25,68.23,68.15,70.08,1.3736506416684104
475,"ServisFirst Bancshares, Inc.",60.69,60.73,60.32,64.275,60.69,60.73,60.32,64.275,1.8818530733623202
476,"SharkNinja, Inc.",58.67,59.15,58.3,59.905,58.67,59.15,58.3,59.905,2.0041544172498913
477,"Shift4 Payments, Inc.",72.22,71.94,70.57,72.562,72.22,71.94,70.57,72.562,2.671607108343215
478,Shopify Inc.,77.53,77.53,77.285,81.62,77.53,77.53,77.285,81.62,2.3784800181313166
479,"Shutterstock, Inc.",46.17,46.14,45.84,47.79,46.17,46.14,45.84,47.79,1.7976586629473972
480,Sigma Lithium Corporation,12.6,12.55,12.23,12.96,12.6,12.55,12.23,12.96,1.6835595577482194
481,Silicon Motion Technology Corporation,74.9,74.49,74.0965,76.25,74.9,74.49,74.0965,76.25,1.8444584286402144
482,Simplify Interest Rate Hedge ETF,47.59,47.88,47.12,48.46,47.59,47.88,47.12,48.46,1.6821507650708396
483,"Simulations Plus, Inc.",43.04,43.25,42.725,43.91,43.04,43.25,42.725,43.91,1.37621033380902
484,SiTime Corporation,85.6,85.55,84.83,89.045,85.6,85.55,84.83,89.045,4.93065431382921
485,"Skechers U.S.A., Inc.",60.52,60.54,60.0801,61.02,60.52,60.54,60.0801,61.02,1.2598409955463712
486,Skillsoft Corp.,8.11,8.08,7.9925,9.6266,8.11,8.08,7.9925,9.6266,1.5836115280787149
487,Skyline Champion Corporation,82.4,82.33,81.9001,85.205,82.4,82.33,81.9001,85.205,2.1236304934062655
488,"SkyWest, Inc.",65.24,65.24,64.735,67.4,65.24,65.24,64.735,67.4,1.3592658951168968
489,SL Green Realty Corp.,51.25,51.58,50.89,53.11,51.25,51.58,50.89,53.11,1.6879761938064817
490,Smartsheet Inc.,38.5,38.59,38.27,38.994,38.5,38.59,38.27,38.994,1.490753930712503
491,A. O. Smith Corporation,86.93,86.78,86.4201,87.72,86.93,86.78,86.4201,87.72,1.359959950522771
