,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
566,Veralto Corporation,87.38,87.44,87.2975,88.62,87.38,87.44,87.2975,88.62,2.0179784051303207
567,Vericel Corporation,45.27,45.63,44.445,46.0,45.27,45.63,44.445,46.0,1.412480157519144
568,Vertiv Holdings Co,77.7,77.06,75.43,78.62,77.7,77.06,75.43,78.62,1.5543412935166132
569,"Viasat, Inc.",16.18,16.2,16.17,17.98,16.18,16.2,16.17,17.98,1.3062300795600528
570,Vicor Corporation,35.65,35.51,35.51,37.585,35.65,35.51,35.51,37.585,2.007162760174464
571,"Viking Therapeutics, Inc.",65.49,65.18,63.65,71.15,65.49,65.18,63.65,71.15,1.7649286285279289
572,VinFast Auto Ltd.,4.78,4.73,4.6812,4.885,4.78,4.73,4.6812,4.885,2.0852750257441874
573,"Vital Energy, Inc.",51.42,51.64,50.77,51.5,51.42,51.64,50.77,51.5,1.835119262574211
574,"Voya Financial, Inc.",71.88,72.09,70.92,72.43,71.88,72.09,70.92,72.43,1.3148808100866893
575,"Vroom, Inc.",10.73,10.3,10.01,11.195,10.73,10.3,10.01,11.195,7.768420741671608
576,VSE Corporation,75.82,76.61,75.25,80.18,75.82,76.61,75.25,80.18,1.7096430006481351
577,"Walker & Dunlop, Inc.",89.64,90.07,88.75,94.2,89.64,90.07,88.75,94.2,2.5102381630549355
578,"Warrior Met Coal, Inc.",55.35,55.71,54.01,55.83,55.35,55.71,54.01,55.83,1.6577856729901026
579,Wayfair Inc.,58.98,59.84,58.98,65.03,58.98,59.84,58.98,65.03,3.0798692173428006
580,Webster Financial Corporation,48.09,48.29,47.89,49.99,48.09,48.29,47.89,49.99,1.2982936889406234
581,"WEC Energy Group, Inc.",80.77,81.0,80.21,81.56,80.77,81.0,80.21,81.56,1.5259920756022134
582,Welltower Inc.,93.38,93.66,92.31,93.72,93.38,93.66,92.31,93.72,1.6645635574583024
583,West Fraser Timber Co. Ltd.,81.65,81.87,81.65,86.19,81.65,81.87,81.65,86.19,2.0164281148759144
584,Westamerica Bancorporation,46.215,46.37,46.215,48.045,46.215,46.37,46.215,48.045,1.2669045735919287
585,Western Alliance Bancorporation,57.97,58.33,57.64,62.25,57.97,58.33,57.64,62.25,2.3329366123865523
586,"Winnebago Industries, Inc.",64.15,63.77,63.82,65.74,64.15,63.77,63.82,65.74,1.7221827431330605
587,Wintrust Financial Corporation,97.56,98.12,97.415,99.83,97.56,98.12,97.415,99.83,2.141210298689585
588,WNS (Holdings) Limited,53.76,53.88,53.4,55.0,53.76,53.88,53.4,55.0,2.169761642577156
589,"Wolfspeed, Inc.",24.92,24.82,24.4775,27.3,24.92,24.82,24.4775,27.3,2.234136823623899
590,Workiva Inc.,84.0,83.92,83.895,86.32,84.0,83.92,83.895,86.32,2.8739522298177085
591,WSFS Financial Corporation,41.97,42.18,41.8482,44.07,41.97,42.18,41.8482,44.07,1.400046976785811
592,"Wyndham Hotels & Resorts, Inc.",77.66,77.66,76.4,77.76,77.66,77.66,76.4,77.76,1.4787736468844943
593,"Wynn Resorts, Limited",99.68,99.75,98.87,100.34,99.68,99.75,98.87,100.34,2.4769842662508523
594,Xenon Pharmaceuticals Inc.,44.05,44.35,43.02,44.05,44.05,44.35,43.02,44.05,1.49127777795943
595,"XPEL, Inc.",49.57,49.67,49.57,52.82,49.57,49.67,49.57,52.82,2.3233490747118752
596,"YETI Holdings, Inc.",36.31,36.49,36.31,37.48,36.31,36.49,36.31,37.48,1.3789682388305664
597,Zai Lab Limited,18.01,18.27,16.91,18.01,18.01,18.27,16.91,18.01,1.3001903806413924
598,"Ziff Davis, Inc.",62.55,62.67,62.38,64.04,62.55,62.67,62.38,64.04,1.6720236672295465
599,"Zillow Group, Inc.",47.2,47.1,46.57,48.42,47.2,47.1,46.57,48.42,1.6126189913068498
600,"Zillow Group, Inc.",47.91,48.15,47.57,49.46,47.91,48.15,47.57,49.46,1.686071547250899
601,"Zions Bancorporation, National Association",39.58,39.78,39.28,41.65,39.58,39.78,39.28,41.65,1.4769443481687516
602,"Zoom Video Communications, Inc.",66.68,66.53,65.97,67.26,66.68,66.53,65.97,67.26,1.9567700037880549
